from,https://tools.miku.ac/gpu_rank/,https://tools-api-cn.hazymoon.vip/gpu_rank,
,name,score,percentage
667,Radeon Pro WX 4130,1693,6
668,Ryzen 5 PRO 4650U with Radeon Graphics,1690,6
669,GeForce GTX 760M,1681,6
670,Radeon R7 M380,1669,6
671,Radeon Ryzen 3 PRO 4350GE,1667,6
672,Radeon HD 7750,1665,6
673,Radeon Vega 9,1662,6
674,FirePro M6000 Mobility Pro,1655,6
675,DameWare Development Mirror Driver 64-bit,1654,6
676,Intel Iris Pro P6300,1654,6
677,Radeon HD HD7850M,1652,6
678,Radeon Ryzen 5 PRO 4650U with,1648,6
679,Radeon Pro,1643,6
680,Quadro K3000M,1642,6
681,Radeon HD 8870M,1638,6
682,Quadro P400,1633,6
683,Firepro W5170M,1626,6
684,Quadro K2000D,1618,6
685,Ryzen 7 2700U with Radeon Vega,1617,6
686,FirePro M4000 Mobility Pro,1615,6
687,Seria Radeon HD 7700,1604,6
688,Radeon R7 M465X,1598,6
689,Radeon Vega 8,1597,6
